"Timestamp","What area do you live in?","How reliable are your local trains? (If any)","How reliable are your local buses? (If any)","Do you use any other public transport to get to school? If so, how reliable are they?","How often are your means of transport?","How long does it take for you to get to school? (Only including transport)","Explain your public transport in one word.","What is your overall rating of your transport?"
"2026/05/07 9:56:46 am GMT+10","Central Coast","3","","","30 - 45 minutes","Less than 15 minutes","Average","7"
"2026/05/07 9:57:06 am GMT+10","Central Coast","2","2","","More than 60 minutes","30 - 45 minutes","yummy","7"
"2026/05/07 9:57:36 am GMT+10","Central Coast","","1","","More than 60 minutes","More than 60 minutes","Unreliable","3"
"2026/05/07 9:59:19 am GMT+10","Central Coast","2","3","","15 - 30 minutes","45 - 60 minutes","inconsistent","7"
"2026/05/07 9:59:36 am GMT+10","Central Coast","4","2","","45 - 60 minutes","15 - 30 minutes","Good","8"
"2026/05/07 10:04:32 am GMT+10","Sydney","3","","Does walking count?","15 - 30 minutes","45 - 60 minutes","Train","5"
"2026/05/07 10:06:11 am GMT+10","Other (Lake Macquarie, Newcastle, etc)","4","3","","30 - 45 minutes","15 - 30 minutes","idk","8"
"2026/05/07 10:06:12 am GMT+10","Central Coast","2","3","Walking, very reliable","Less than 15 minutes","Less than 15 minutes","walk","8"
"2026/05/07 10:08:00 am GMT+10","Central Coast","3","3","Bus, it works","Less than 15 minutes","Less than 15 minutes","bus","7"
"2026/05/07 5:58:30 pm GMT+10","Sydney","2","3","","More than 60 minutes","45 - 60 minutes","Unreliable","4"
"2026/05/07 6:33:01 pm GMT+10","Sydney","1","3","No","45 - 60 minutes","45 - 60 minutes","Horrible","4"
"2026/05/07 6:43:35 pm GMT+10","Central Coast","4","4","","45 - 60 minutes","15 - 30 minutes","Good","9"
"2026/05/08 9:17:17 am GMT+10","Central Coast","4","2","","15 - 30 minutes","45 - 60 minutes","Potential","6"
"2026/05/08 9:20:29 am GMT+10","Sydney","4","4","no","45 - 60 minutes","More than 60 minutes","hi","8"
"2026/05/08 12:59:20 pm GMT+10","Other (Lake Macquarie, Newcastle, etc)","","4","","More than 60 minutes","More than 60 minutes","Loud","7"
"2026/05/08 1:01:24 pm GMT+10","Central Coast","4","2","bus and it sucks","More than 60 minutes","15 - 30 minutes","late","8"
"2026/05/08 1:01:41 pm GMT+10","Central Coast","","2","","30 - 45 minutes","15 - 30 minutes","inconsistent","4"
"2026/05/08 1:08:05 pm GMT+10","Sydney","3","3","I specifically just use trains and walk","15 - 30 minutes","30 - 45 minutes","Inconsistent","6"
"2026/05/08 1:08:25 pm GMT+10","Sydney","","3","","15 - 30 minutes","More than 60 minutes","Crowded","7"
"2026/05/08 1:13:45 pm GMT+10","Central Coast","2","1","","30 - 45 minutes","30 - 45 minutes","Late","2"
"2026/05/08 1:14:03 pm GMT+10","Sydney","2","3","","15 - 30 minutes","More than 60 minutes","Train","7"
"2026/05/08 1:14:53 pm GMT+10","Central Coast","3","3","","More than 60 minutes","More than 60 minutes","Infrequent.","4"
"2026/05/08 2:31:13 pm GMT+10","Sydney","3","4","nup","15 - 30 minutes","45 - 60 minutes","train","8"
