"location","train_reliable","bus_reliable","other_transport","often_transport","time_transport","word_transport","transport_rating"
"Central Coast","3","","","30 - 45 minutes","Less than 15 minutes","average","7"                          
"Central Coast","2","2","","More than 60 minutes","30 - 45 minutes","yummy","7"
"Central Coast","","1","","More than 60 minutes","More than 60 minutes","inconsistent","3"                   
"Central Coast","2","3","","15 - 30 minutes","45 - 60 minutes","inconsistent","7" 
"Central Coast","4","2","","45 - 60 minutes","15 - 30 minutes","good","8"
"Sydney","3","","Does walking count?","15 - 30 minutes","45 - 60 minutes","train","5"
"Other","4","3","","30 - 45 minutes","15 - 30 minutes","idk","8"
"Central Coast","2","3","Walking, very reliable","Less than 15 minutes","Less than 15 minutes","walk","8"
"Central Coast","3","3","","Less than 15 minutes","Less than 15 minutes","bus","7"
"Sydney","2","3","","More than 60 minutes","45 - 60 minutes","unreliable","4"
"Sydney","1","3","","45 - 60 minutes","45 - 60 minutes","bad","4"
"Central Coast","4","4","","45 - 60 minutes","15 - 30 minutes","good","9"
"Central Coast","4","2","","15 - 30 minutes","45 - 60 minutes","average","6"
"Sydney","4","4","","45 - 60 minutes","More than 60 minutes","hi","8"
"Other","","4","","More than 60 minutes","More than 60 minutes","loud","7"
"Central Coast","4","2","","More than 60 minutes","15 - 30 minutes","inconsistent","8"
"Central Coast","","2","","30 - 45 minutes","15 - 30 minutes","inconsistent","4"
"Sydney","3","3","walk","15 - 30 minutes","30 - 45 minutes","inconsistent","6"
"Sydney","","3","","15 - 30 minutes","More than 60 minutes","crowded","7"
"Central Coast","2","1","","30 - 45 minutes","30 - 45 minutes","inconsistent","2"
"Sydney","2","3","","15 - 30 minutes","More than 60 minutes","train","7"
"Central Coast","3","3","","More than 60 minutes","More than 60 minutes","inconsistent","4"
"Sydney","3","4","","15 - 30 minutes","45 - 60 minutes","train","8"
"Sydney","4","3","","15 - 30 minutes","45 - 60 minutes","inconsistent","3"
"Sydney","2","1","","More than 60 minutes","45 - 60 minutes","tiring","8"
"Sydney","3","1","car. very reliable","45 - 60 minutes","45 - 60 minutes","bad","3"
"Central Coast","4","3","","15 - 30 minutes","15 - 30 minutes","bus","8"
"Sydney","4","3","Metro","15 - 30 minutes","More than 60 minutes","good","7"
"Central Coast","4","3","","45 - 60 minutes","Less than 15 minutes","unreliable","7"
"Central Coast","3","2","","15 - 30 minutes","30 - 45 minutes","bus","6"
"Central Coast","4","4","","Less than 15 minutes","Less than 15 minutes","car","7"
"Sydney","4","3","","30 - 45 minutes","45 - 60 minutes","train","8"
"Central Coast","4","3","","15 - 30 minutes","Less than 15 minutes","good","5"
"Central Coast","3","2","","More than 60 minutes","More than 60 minutes","unreliable","8"
"Central Coast","","4","","Less than 15 minutes","30 - 45 minutes","bus","8"
"Sydney","3","2","Legs, pretty reliable","More than 60 minutes","45 - 60 minutes","good","7"
"Central Coast","5","4","","15 - 30 minutes","Less than 15 minutes","train","9"
"Sydney","4","4","","30 - 45 minutes","45 - 60 minutes","loud","8"
"Central Coast","3","4","","30 - 45 minutes","15 - 30 minutes","unreliable","5"
"Central Coast","3","3","","Less than 15 minutes","Less than 15 minutes","car","8"
"Central Coast","4","3","","15 - 30 minutes","30 - 45 minutes","crowded","7"
"Central Coast","4","2","","Less than 15 minutes","Less than 15 minutes","good","8"
"Central Coast","4","2","","45 - 60 minutes","15 - 30 minutes","bus","4"
"Sydney","4","3","Walking - very reliable","15 - 30 minutes","45 - 60 minutes","average","8"
"Other","1","5","Rory, very reliable","Less than 15 minutes","More than 60 minutes","rory","10"
"Central Coast","","1","","Less than 15 minutes","Less than 15 minutes","bus","10"
"Central Coast","4","3","","30 - 45 minutes","15 - 30 minutes","good","8"
"Central Coast","4","4","","30 - 45 minutes","30 - 45 minutes","good","9"
"Sydney","5","5","i walk","45 - 60 minutes","More than 60 minutes","good","10"
"Sydney","4","3","","45 - 60 minutes","30 - 45 minutes","train","8"
"Central Coast","3","4","Cruise","15 - 30 minutes","30 - 45 minutes","basugadaisukidesu","10"
"Central Coast","3","4","","More than 60 minutes","15 - 30 minutes","good","10"
"Central Coast","4","4","","15 - 30 minutes","15 - 30 minutes","good","10"
"Central Coast","2","3","","15 - 30 minutes","Less than 15 minutes","average","6"
